sampling,popmodel,replicate,n_snps
linearconstant,expgrowthslow,9,4294
linearconstant,expgrowthslow,10,4231
linearconstant,expgrowthslow,11,4089
linearconstant,expgrowthslow,12,3941
linearconstant,expgrowthslow,13,4007
linearconstant,expgrowthslow,14,3990
linearconstant,expgrowthslow,15,4303
linearconstant,expgrowthslow,16,4097
linearconstant,expgrowthslow,17,4141
linearconstant,expgrowthslow,18,4383
linearconstant,expgrowthslow,19,4191
linearconstant,expgrowthslow,20,4270
linearconstant,expgrowthslow,21,4671
linearconstant,expgrowthslow,22,4091
linearconstant,expgrowthslow,23,4022
linearconstant,expgrowthslow,24,4231
linearconstant,expgrowthslow,25,4194
linearconstant,expgrowthslow,26,4022
linearconstant,expgrowthslow,27,4733
linearconstant,expgrowthslow,28,4087
linearconstant,expgrowthslow,29,4104
linearconstant,expgrowthslow,30,4179
linearconstant,expgrowthslow,31,4254
linearconstant,expgrowthslow,32,3879
linearconstant,expgrowthslow,33,4228
linearconstant,expgrowthslow,34,4441
linearconstant,expgrowthslow,35,4004
linearconstant,expgrowthslow,36,4146
linearconstant,expgrowthslow,37,3899
linearconstant,expgrowthslow,38,4405
linearconstant,expgrowthslow,39,4038
linearconstant,expgrowthslow,40,4262
linearconstant,expgrowthslow,41,4065
linearconstant,expgrowthslow,42,4477
linearconstant,expgrowthslow,43,4222
linearconstant,expgrowthslow,44,4268
linearconstant,expgrowthslow,45,4663
linearconstant,expgrowthslow,46,4383
linearconstant,expgrowthslow,47,4362
linearconstant,expgrowthslow,48,4300
linearconstant,expgrowthslow,49,3945
linearconstant,expgrowthslow,50,4250
linearconstant,expgrowthslow,51,3984
linearconstant,expgrowthslow,52,4049
linearconstant,expgrowthslow,53,4546
linearconstant,expgrowthslow,54,4084
linearconstant,expgrowthslow,55,4494
linearconstant,expgrowthslow,56,4181
linearconstant,expgrowthslow,57,4309
linearconstant,expgrowthslow,58,4271
linearconstant,expgrowthslow,59,4054
linearconstant,expgrowthslow,60,4175
linearconstant,expgrowthslow,61,4263
linearconstant,expgrowthslow,62,4065
linearconstant,expgrowthslow,63,3989
linearconstant,expgrowthslow,64,3626
linearconstant,expgrowthslow,65,4123
linearconstant,expgrowthslow,66,3954
linearconstant,expgrowthslow,67,4259
linearconstant,expgrowthslow,68,4380
linearconstant,expgrowthslow,69,4197
linearconstant,expgrowthslow,70,4207
linearconstant,expgrowthslow,71,4251
linearconstant,expgrowthslow,72,4179
linearconstant,expgrowthslow,73,4382
linearconstant,expgrowthslow,74,4093
linearconstant,expgrowthslow,75,4147
linearconstant,expgrowthslow,76,4818
linearconstant,expgrowthslow,77,4384
linearconstant,expgrowthslow,78,3890
linearconstant,expgrowthslow,79,4155
linearconstant,expgrowthslow,80,4335
linearconstant,expgrowthslow,81,4061
linearconstant,expgrowthslow,82,3904
linearconstant,expgrowthslow,83,4069
linearconstant,expgrowthslow,84,4052
linearconstant,expgrowthslow,85,4192
linearconstant,expgrowthslow,86,4245
linearconstant,expgrowthslow,87,4379
linearconstant,expgrowthslow,88,4163
linearconstant,expgrowthslow,89,4098
linearconstant,expgrowthslow,90,4337
linearconstant,expgrowthslow,91,4226
linearconstant,expgrowthslow,92,3716
linearconstant,expgrowthslow,93,4129
linearconstant,expgrowthslow,94,4304
linearconstant,expgrowthslow,95,4356
linearconstant,expgrowthslow,96,4116
linearconstant,expgrowthslow,97,3866
linearconstant,expgrowthslow,98,4229
linearconstant,expgrowthslow,99,4007
linearconstant,uniform,0,6921
linearconstant,uniform,1,7437
linearconstant,uniform,2,7212
linearconstant,uniform,3,6972
linearconstant,uniform,4,6940
linearconstant,uniform,5,5314
linearconstant,uniform,6,6433
linearconstant,uniform,7,6316
linearconstant,uniform,8,6535
linearconstant,uniform,9,8227
linearconstant,uniform,10,6203
linearconstant,uniform,11,8461
linearconstant,uniform,12,7237
linearconstant,uniform,13,6860
linearconstant,uniform,14,9160
linearconstant,uniform,15,6837
linearconstant,uniform,16,9456
linearconstant,uniform,17,6362
linearconstant,uniform,18,7765
linearconstant,uniform,19,7001
linearconstant,uniform,20,8360
linearconstant,uniform,21,6664
linearconstant,uniform,22,6451
linearconstant,uniform,23,6018
linearconstant,uniform,24,6701
linearconstant,uniform,25,9187
linearconstant,uniform,26,6844
linearconstant,uniform,27,7505
linearconstant,uniform,28,5910
linearconstant,uniform,29,7051
linearconstant,uniform,30,7651
linearconstant,uniform,31,6963
linearconstant,uniform,32,5672
linearconstant,uniform,33,5821
linearconstant,uniform,34,8873
linearconstant,uniform,35,6967
linearconstant,uniform,36,7984
linearconstant,uniform,37,7567
linearconstant,uniform,38,7624
linearconstant,uniform,39,6852
linearconstant,uniform,40,6826
linearconstant,uniform,41,9106
linearconstant,uniform,42,6635
linearconstant,uniform,43,6877
linearconstant,uniform,44,7345
linearconstant,uniform,45,10759
linearconstant,uniform,46,5734
linearconstant,uniform,47,7131
linearconstant,uniform,48,8135
linearconstant,uniform,49,8821
linearconstant,uniform,50,10685
linearconstant,uniform,51,8006
linearconstant,uniform,52,6218
linearconstant,uniform,53,7143
linearconstant,uniform,54,6671
linearconstant,uniform,55,6285
linearconstant,uniform,56,5694
linearconstant,uniform,57,7138
linearconstant,uniform,58,6541
linearconstant,uniform,59,5527
linearconstant,uniform,60,9812
linearconstant,uniform,61,8471
linearconstant,uniform,62,6254
linearconstant,uniform,63,7233
linearconstant,uniform,64,8382
linearconstant,uniform,65,6983
linearconstant,uniform,66,6293
linearconstant,uniform,67,6747
linearconstant,uniform,68,8219
linearconstant,uniform,69,6647
linearconstant,uniform,70,6355
linearconstant,uniform,71,8308
linearconstant,uniform,72,5974
linearconstant,uniform,73,8724
linearconstant,uniform,74,7497
linearconstant,uniform,75,12260
linearconstant,uniform,76,5959
linearconstant,uniform,77,6173
linearconstant,uniform,78,7283
linearconstant,uniform,79,10223
linearconstant,uniform,80,6316
linearconstant,uniform,81,5389
linearconstant,uniform,82,7195
linearconstant,uniform,83,6272
linearconstant,uniform,84,6712
linearconstant,uniform,85,5889
linearconstant,uniform,86,6993
linearconstant,uniform,87,6993
linearconstant,uniform,88,6785
linearconstant,uniform,89,6662
linearconstant,uniform,90,6260
linearconstant,uniform,91,6138
linearconstant,uniform,92,6602
linearconstant,uniform,93,7099
linearconstant,uniform,94,7007
linearconstant,uniform,95,5578
linearconstant,uniform,96,8330
linearconstant,uniform,97,9018
linearconstant,uniform,98,6080
linearconstant,uniform,99,8885
linearconstant,bottleneck,0,5048
linearconstant,bottleneck,1,5052
linearconstant,bottleneck,2,5730
linearconstant,bottleneck,3,8522
linearconstant,bottleneck,4,7813
linearconstant,bottleneck,5,6505
linearconstant,bottleneck,6,5844
linearconstant,bottleneck,7,4974
linearconstant,bottleneck,8,5837
linearconstant,bottleneck,9,4739
linearconstant,bottleneck,10,5520
linearconstant,bottleneck,11,6039
linearconstant,bottleneck,12,6795
linearconstant,bottleneck,13,7245
linearconstant,bottleneck,14,5359
linearconstant,bottleneck,15,4695
linearconstant,bottleneck,16,7880
linearconstant,bottleneck,17,5701
linearconstant,bottleneck,18,6467
linearconstant,bottleneck,19,5215
linearconstant,bottleneck,20,8857
linearconstant,bottleneck,21,5668
linearconstant,bottleneck,22,4865
linearconstant,bottleneck,23,6432
linearconstant,bottleneck,24,5600
linearconstant,bottleneck,25,5713
linearconstant,bottleneck,26,5884
linearconstant,bottleneck,27,4400
linearconstant,bottleneck,28,5496
linearconstant,bottleneck,29,4219
linearconstant,bottleneck,30,4824
linearconstant,bottleneck,31,6049
linearconstant,bottleneck,32,5245
linearconstant,bottleneck,33,6239
linearconstant,bottleneck,34,6333
linearconstant,bottleneck,35,4891
linearconstant,bottleneck,36,7541
linearconstant,bottleneck,37,3684
linearconstant,bottleneck,38,10674
linearconstant,bottleneck,39,4399
linearconstant,bottleneck,40,4893
linearconstant,bottleneck,41,6783
linearconstant,bottleneck,42,4759
linearconstant,bottleneck,43,4814
linearconstant,bottleneck,44,6697
linearconstant,bottleneck,45,6722
linearconstant,bottleneck,46,6079
linearconstant,bottleneck,47,4249
